0,1,2,3,4,5,6,7,8,9
Mai ve Siyah,Halid Ziya Uşaklıgil,KAPRA YAYINCILIK,"Türk edebiyatının en önemli eserlerinden biri kabul edilen Mai ve Siyah, Halid Ziya Uşaklıgil’in toplumsal anlatılar yerine merkezine bireyi aldığı baş yapıtıdır. Döneminin edebiyat mahfillerinde yer edinmeye çalışan şair Ahmet Cemil, sanat ve edebiyatla yoğrulmuş bir hayatla var olma mücadelesi vermektedir. Bu hayatın bedeli ise acılar, umutsuzluklar, reddedilişler ve yenilgilerle dolu günleri kabullenmektir. “İşte öyle bir şey yazmak istiyorum ki yukarı bakılsa mavi ve daima mavi; aşağı bakılsa siyah daima siyah... Bir şey ki mavi ve siyah olsun. Hasta mıyım, bilemiyorum; fakat ah! Ne yazmak istediğimi bir bilsem; onu şöyle karşımda resmedilmiş, betimlenmiş görmek mümkün olsa; işte o vakit zannediyorum ki artık ölebilirim.” ","Yayın Tarihi:
11.02.2021


ISBN:
9786257300926


Dil:
TÜRKÇE


Sayfa Sayısı:
296


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",5,46,"




                    Okuyacağım                


                    162                






                    Okuyorum                


                    13                






                    Okudum                


                    154                


",5.535," 12,90"
Sofie'nin Dünyası Felsefe Tarihi Üzerine Bir Roman,Jostein Gaarder,PAN YAYINCILIK,"""Sofi'nin Dünyası"" yayınlandığı 1991 yılından bu yana aralarında Korece, Rusça, Japonca, Arapça gibi diller de olmak üzere kırka yakın dile çevrilmiş ve yayınlandığı her ülkede en çok satan kitap olma başarısını elde etmiştir...""Benzer insanların"", yüzeysel bilgilerin geçerli olduğu çağımızda, ""3000 yıllık geçmişinin hesabını yapamayan insan günübirlik yaşayan insandır"" diyen Goethe'nin günübirlik insanlarından olmama yolunda ciddi bir adım.15. yaşgününü kutlamaya hazırlanan Sofi, bir gün posta kutusunda ""Kimsin"" yazılı bir not bulur. Bu sorudan hareketle, bütün bir felsefe tarihinde sorulmuş soruları ve cevapları, sürükleyici bir roman kurgusu içinde anlatan Jostein Gaarder, Umberto Eco'nun ""Gülün Adı""nda Ortaçağ teolojisini romanlaştırma gücünü bu kitabında felsefede gösteriyor.Gaarder (1952) özellikle gençliğe yönelik kitaplarıyla tanınan Norveçli bir felsefe öğretmeni.","Çevirmen:
 Sabir Yücesoy


Yayın Tarihi:
27.02.2017


Orijinal Adı:
Sofies Verden


ISBN:
9789758434572


Dil:
TÜRKÇE


Sayfa Sayısı:
591


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 19.5 cm",5,1.686,"




                    Okuyacağım                


                    2.453                






                    Okuyorum                


                    406                






                    Okudum                


                    3.614                


",46.554," 120,34"
Doğunun Limanları,Amin Maalouf,YAPI KREDİ YAYINLARI,"Amin Maalouf, Osmanlı İmparatorluğu'nu, etnik çatışma ve çözülmeyi, Avrupa'yla Doğu'nun, dillerin ve dinlerin tanışma noktası Doğu Limanları'nı anlatıyor. İnce dokunmuş bir tarih örtüsüne işlenmiş kentler ve yaşamlar var bu satırlarda.","Çevirmen:
 Saadet Özen


Yayın Tarihi:
04.12.2019


ISBN:
9789750809774


Dil:
TÜRKÇE


Sayfa Sayısı:
183


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
3. Hm. Kağıt


Boyut:
13.5 x 21 cm",5,1.667,"




                    Okuyacağım                


                    1.366                






                    Okuyorum                


                    138                






                    Okudum                


                    4.001                


",40.724," 30,33"
Tutunamayanlar / Bütün Eserleri 1,Oğuz Atay,İLETİŞİM YAYINLARI,"Tutunamayanlar, Türk edebiyatının en önemli eserlerinden biridir. Berna Moran, Oğuz Atay'ın bu ilk romanını ""hem söyledikleri hem de söyleyiş biçimiyle bir başkaldırı"" olarak niteler. Moran'a göre ""Oğuz Atay'ın mizah gücü ve duyarlığı ve kullandığı teknik incelikler, Tutunamayanlar'ı büyük bir yeteneğin ürünü yapmış, eserdeki bu yetkinlik Türk romanını çağdaş roman anlayışıyla aynı hizaya getirmiş ve ona çok şey kazandırmıştır. ""Küçük burjuva dünyasını ve değerlerini zekice alaya alan Atay, ""saldırısı tutunanların anlamayacağı, rededeceği türden bir romanla yazar.""","Kapak:
 Ümit Kıvanç


Yayın Tarihi:
27.01.2022


ISBN:
9789754700114


Dil:
TÜRKÇE


Sayfa Sayısı:
724


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13 x 19 cm",5,2.560,"




                    Okuyacağım                


                    6.215                






                    Okuyorum                


                    947                






                    Okudum                


                    5.480                


",70.193," 121,80"
Yaşlı Adam ve Deniz,Ernest Hemingway,BİLGİ YAYINEVİ,"Yaşlı bir Kübalı balıkçının açık denizde Gulf Stream’e kapılmış olarak dev bir kılıçbalığıyla olan can yakıcı mücadelesi son derece sade ve kuvvetli kelimelerle anlatılıyor. Bu hikâyesiyle Hemingway, yenilgiye karşı cesaret, kayba karşı şahsi başarı temasını kendine has modern üslubuyla yeni baştan heykelleştirmiştir.","Çevirmen:
 Yasemin Yener


Yayın Tarihi:
01.04.2019


ISBN:
9789752201682


Dil:
TÜRKÇE


Sayfa Sayısı:
88


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 19.5 cm",5,918,"




                    Okuyacağım                


                    1.088                






                    Okuyorum                


                    77                






                    Okudum                


                    2.388                


",28.253," 40,71"
Zamanı Durdurmanın Yolları,Matt Haig,DOMİNGO YAYINEVİ,"KAÇ ÖMÜR GEREK, YAŞAMAYI ÖĞRENMEK İÇİN? Tom Hazard’ın tehlikeli bir sırrı var. 41 yaşında sıradan bir tarih öğretmeni gibi görünse de nadir rastlanan bir hastalık yüzünden aslında yüzyıllardır hayatta. Shakespeare’le aynı sahnede yer almış, Kaptan Cook’la açık denizleri fethetmiş, Fitzgerald’larla içki içmiş. Ama şimdi, tek istediği normal bir hayat sürmek. Kimliğini değiştirmeye devam ettiği sürece geçmişini geride bırakabilir ve hayatta kalabilir.Yapmaması gereken tek bir şey var, âşık olmak.İngiltere’nin en önemli yazarlarından Matt Haig’in büyük övgü toplayan, 37 dile çevrilen ve yakında Benedict Cumberbatch tarafından sinemaya aktarılacak kitabı Zamanı Durdurmanın Yolları, insanın kendini kaybedip tekrar bulmasına dair güzel bir roman.  “Matt Haig insan doğasının aydınlık ve karanlık tarafına aynı ölçüde hâkim. Ve bu yetisini harika öyküler yaratmak için kullanıyor.”NEIL GAIMAN “Matt Haig yüreğimizi dokuyor. Bu kitabın gücüne karşı koymak zor.”GUARDIAN “Olağanüstü bir kitap.”STEPHEN FRY “Bu yılın ve nice yılların en iyi kitabı. Baş döndüren bir okuma. Zaman durdu...”DANNY WALLACE “Tarihe ve insan doğasına saplantı derecesinde tutkun bir yazardan yaratıcı ve iddialı bir roman.”SUNDAY EXPRESS","Çevirmen:
 Kıvanç Güney


Yayın Tarihi:
05.11.2018


ISBN:
9786051980560


Dil:
TÜRKÇE


Sayfa Sayısı:
328


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
30 x 21 cm",5,226,"




                    Okuyacağım                


                    428                






                    Okuyorum                


                    37                






                    Okudum                


                    485                


",8.188," 55,70"
Hayvan Çiftliği,George Orwell,KAPRA YAYINCILIK,"Bütün Hayvanlar Eşittir.AMA BAZI HAYVANLAR ÖTEKİLERDEN DAHA EŞİTTİR.George Orwell’in Bin Dokuz Yüz Seksen Dört’ten sonra dünya çapında en çok okunan ikinci başyapıtı olan Hayvan Çiftliği, kötü muameleyle ağır koşullar altında çalıştırılan hayvanların eşit, özgür ve mutlu olacakları bir düzen hayaliyle zalim çiftlik sahibi Bay Jones’a karşı ayaklanmasıyla başlar.Hayvan Çiftliği, ilk kez yayımlandığı 1945 yılından beri çok geniş yankı uyandırmış, alegorik nitelikler taşıyan siyasi bir yergidir. Doğrudan doğruya bir Stalin rejimi eleştirisi kabul edilen romanın bazı karakterleriyle dönemin siyasi figürleri arasındaki benzerlikler kolayca görülebilir. Ancak bu benzerliğin ötesinde Orwell, insanlığın hemen her dönemde maruz kaldığı otoriter gücün yıkıcı tahakkümünü keskin hicviyle masalsı bir romana dönüştürmüştür. Hayvan Çiftliği adaletsizliğe, kaba kuvvete ve özgürlüklerin kısıtlanışına karşı yükselttiği güçlü sesiyle güncelliğini koruyan çağdaş bir klasik. ","Çevirmen:
 Tunahan Tuna


Editor:
 Selçuk Uzman


Yayın Tarihi:
05.01.2021


ISBN:
9786257300100


Dil:
TÜRKÇE


Sayfa Sayısı:
96


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",5,163,"




                    Okuyacağım                


                    299                






                    Okuyorum                


                    46                






                    Okudum                


                    815                


",13.700," 7,90"
Bağımlılık  Çağdaş Danimarka Edebiyatı - Kopenhag Üçlemesi,Tove Ditlevsen,MONOKL YAYINLARI,"“Dışlanmış olanların kendilerinden bir şeyler bulabileceği olağanüstü bir hikâye.” Patti Smith “Büyük edebiyat nasıl yapılır, işte örneği. A Klas… Üçleme, muazzam bir yeteneğinin ürünü.” ―Parul Sehgal, The New York Times “Ditlevsen’i okuma deneyimi altüst edici, sanki Ditlevsen kafanızın içine girip tüm eşyaların yerini değiştirmiş gibi.” ―Deborah Eisenberg, The New York Review of Books “Kopenhag Üçlemesi bir başyapıt, özel bir boşluğu dolduruyor. Sanki yitip gitmiş birisinin çekmesinde bulunan değerli bir hazine gibi ya da çorapların yahut eski fotoğrafların arasına saklanmış gizli bir zula gibi.” ―Megan O’Grady, The New York Times Book Review “Bağımlılığa ve deliliğe usul usul kapılıp gitmek… Ditlevsen.” ―Sam Sacks, The Wall Street Journal“Ditlevsen bize çaresiz ve edilgen olduğunu anlatıp duruyor. Ama kitabı güzel kılan tam da onun hiç de çaresiz ve edilgen olmaması…” ―John Powers, NPR “Yazısının büyüklüğü çözülmemiş bir gizem olmasına dayanıyor, hem çözülmemiş hem de çözülüp gitmiş.”  ―Rachel Kushner, author of The Mars Room“Sanki yüz yıllık bir kristal gibi, Ditlevsen’in kitabı seçkin ve şeffaf, küçük çarpıklıklarla ve el değmemiş bir güzellikle parıldıyor.” Hannah Kofman, Los Angeles Review of Books “Bu yıl okuduğum en iyi kitaplar bu üçlemeden. Hepsi de küçük bir hançer gibi, bir kez içe işledi mi, işlerini bitirmeden içinizden çıkmıyorlar.” ―John Self, New Statesman “Hem Elena Ferrante’nin Napoli Romanları hem de Ditlevsen’nin Kopenhag Üçlemesi büyük bir cesaret ve parıltılı bir öznellikle dönemi tasvir ediyor: işçi sınıfının mahallerinde büyüyen kitap tutkunu kızlar – 1930’ların Kopenhag’ı ya da 1950’lerin Napoli’si, ikisi de aynı. Ama estetik açıdan Ditlevsen’in kitabı çok daha ilginç.  Sanki balçığı temizlenmiş bir kristal gibi.” ―Lucasta Miller, The Times Literary Supplement Bazen Piet Hein’ın kolları arasında yatarken, geleceğim için planlar kurduğunda biraz canımı sıkıyor. Sanki hayatımı kendim idare edebilmekten acizmişim gibi her şeye burnunu sokup hayatımı değiştirip düzenlemek istemesinden sıkılıyorum. O zaman beni keşke rahat bıraksa diyorum. Hayat ebediyen bu şekilde akıp gitse diyorum. Ne birini ne ötekisini kaybetmeden ve büyük dönüşümlere neden olmadan onun ve Viggo F.’nin arasında gidip gelsem. Değişikliklerden hep nefret etmişimdir, her şey olduğu gibi devam ettiği sürece kendimi güvende hissetmişimdir. Ama böyle devam edemez. Artık sokakta sevgilileri görmek beni eskisi gibi etkilemiyor ama küçük çocuklu annelere bakmamak için gözlerimi çeviriyorum. Bebek arabalarının içine bakmaktan ve bizim sokakta, 18 yaşına gelmeden evvel çocuk doğurmadıkları için gurur duyan kızları düşünmekten kaçınıyorum. Piet, hamile kalmamam için önlem aldığından bu konudaki bütün düşüncelerimi içime gömüyorum. Şairlerin çocuk sahibi olmamaları gerektiğini, bunu yapabilecek yeterince insan olduğunu söylüyor. Oysa kitap yazabilen fazla insan yok.Tove Ditlevsen ","Çevirmen:
 Leyla Tamer


Yayın Tarihi:
22.07.2022


ISBN:
9786057072276


Dil:
TÜRKÇE


Sayfa Sayısı:
128


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,5,"




                    Okuyacağım                


                    22                






                    Okuyorum                


                    2                






                    Okudum                


                    17                


",610," 36,00"
Sol Ayağım,Christy Brown,NORA KİTAP,"Doğuştan beyin felçli olan Christy Brown, konuşmasını ve hareketlerini kontrol edemiyordu. Ama zekâsı ve cesareti onun okuma ve yazmayı, resim yapmayı ve daktilo kullanmayı öğrenebilmesini, hatta bu kitabı yazabilmesini sağladı.Christy Brown, kendi yaşam öyküsünü kaleme aldığı bu kitabında bütün bunları öğrenebilmek için sol ayağını kullanarak nasıl büyük bir mücadele verdiğini ve hayata nasıl tutunduğunu anlatıyor.Yazarın, bu kitabın devamı niteliğinde sayılabilecek “Her Gün Hüzün” adlı başka bir kitabı daha bulunuyor.Sol Ayağım, Christy Brown’ı Daniel Day-Lewis’in canlandırdığı aynı adlı, çok başarılı bir filmle beyaz perdeye de uyarlanmıştır.","Çevirmen:
 Filiz Kahraman


Yayın Tarihi:
25.08.2017


ISBN:
9786257359740


Dil:
TÜRKÇE


Sayfa Sayısı:
192


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 19.5 cm",5,452,"




                    Okuyacağım                


                    644                






                    Okuyorum                


                    91                






                    Okudum                


                    1.793                


",22.749," 44,01"
Çocukluk  Kopenhag Üçlemesi,Tove Ditlevsen,MONOKL YAYINLARI,"Çocukluğumun oturma odasında tek başımayım. Eskiden burada annem şarkı söyler, babam yıllardır görmediğim yasak kitabı okur, ağabeyim ise bir tahtaya çivi çakardı. Bunların hepsi asırlar evveldi ve o zamanlar, çocukluğun sonsuza dek süreceğini acıyla hissetsem de, daha mutluydum gibime geliyor... Bundan sonra evde uyumaya devam etsem de, bu gece oturma odasıyla vedalaştığımı hissediyorum. Yatmak içimden gelmiyor, uykum da yok. Derin bir hüzün içindeyim. Sardunyaları cam kenarından kaldırıyorum ve gökyüzüne, esip geçen bulutların arasında hafifçe sallanan yeni ayın beşiği altında ışıldayan küçük yıldıza bakıyorum. Johannes V. Jensen’in, birçok kere okuduğumdan uzun bölümlerini ezbere bildiğim Buzul adlı romanından birkaç satırı kendi kendime söylüyorum: “Kâh sabah kâh akşam yıldızı gibi parlıyor annesinin koynunda öldürülen küçük kız, sonsuz yollarda beyaz ve dalgın, yalnız başına gezen, kendi oyununa kapılmış bir çocuk ruhu gibi.” …Bu cümleler, bana ebediyen kaybettiğim Ruth’u hatırlatıyor ve gözlerimden yaşlar akıyor. Küçük, kalp şeklinde ağzıyla, gözleri parlak ve kudretli Ruth. Herkese laf yetiştiren, yüreği sevgi dolu, küçük, kayıp arkadaşım. Arkadaşlığımız da çocukluğum gibi sona erdi. Güneş yanığı gibi, çocukluğumun son parçacıkları şimdi üstümden pul pul dökülüyor ve altından ters, imkânsız bir yetişkin beliriyor. Gece, pencerenin önünden geçedursun, şiir defterimi okuyorum ve ben farkına varmadan, çocukluğum usulca, hayatımın sonuna kadar benim için bir bilgi ve tecrübe kaynağı olacak, şu insan ruhunun kütüphanesi olan belleğimin dibine çöküyor. Tove Ditlevsen, Kopenhag Üçlemesi ile dünyada kadın edebiyatının ve (Ferrante Knausgaard’ın ardından da) otobiyografik anlatının yeni simgesi haline geldi.Ne Dediler:“Dışlanmış olanların kendilerinden bir şeyler bulabileceği olağanüstü bir hikâye.” Patti Smith“Büyük edebiyat nasıl yapılır, işte örneği. A Klas… Üçleme, muazzam bir yeteneğinin ürünü.” ---Parul Sehgal, The New York Times“Ditlevsen’i okuma deneyimi altüst edici, sanki Ditlevsen kafanızın içine girip tüm eşyaların yerini değiştirmiş gibi.”-Deborah Eisenberg, The New York Review of Books“Kopenhag Üçlemesi bir başyapıt, özel bir boşluğu dolduruyor. Sanki yitip gitmiş birisinin çekmesinde bulunan değerli bir hazine gibi ya da çorapların yahut eski fotoğrafların arasına saklanmış gizli bir zula gibi.”-Megan O’Grady, The New York Times Book Review“Bağımlılığa ve deliliğe usul usul kapılıp gitmek… Ditlevsen.”-Sam Sacks, The Wall Street Journal“Ditlevsen bize çaresiz ve edilgen olduğunu anlatıp duruyor. Ama kitabı güzel kılan tam da onun hiç de çaresiz ve edilgen olmaması…”-John Powers, NPR“Yazısının büyüklüğü çözülmemiş bir gizem olmasına dayanıyor, hem çözülmemiş hem de çözülüp gitmiş.”-Rachel Kushner, author of The Mars Room“Sanki yüz yıllık bir kristal gibi, Ditlevsen’in kitabı seçkin ve şeffaf, küçük çarpıklıklarla ve el değmemiş bir güzellikle parıldıyor.” Hannah Kofman, Los Angeles Review of Books“Hiç kimse çocukluk hakkında Tove Ditlevsen gibi yazmadı, hem umutlu hem kara sezgili. İkinci dünya savaşı öncesinde bir işçi çocuğu olarak yaşadıkları Ferrante’nin anlatılarını çağrıştırıyor ama tabii Ditlevsen’in lirizmi kendine has”.-Julie Phillips, 4Columns“Bu yıl okuduğum en iyi kitaplar bu üçlemeden. Hepsi de küçük bir hançer gibi, bir kez içe işledi mi, işlerini bitirmeden içinizden çıkmıyorlar.”-John Self, New Statesman“Hem Elena Ferrante’nin Napoli Romanları hem de Ditlevsen’nin Kopenhag Üçlemesi büyük bir cesaret ve parıltılı bir öznellikle dönemi tasvir ediyor: işçi sınıfının mahallerinde büyüyen kitap tutkunu kızlar – 1930’ların Kopenhag’ı ya da 1950’lerin Napoli’si, ikisi de aynı. Ama estetik açıdan Ditlevsen’in kitabı çok daha ilginç. Sanki balçığı temizlenmiş bir kristal gibi.”-Lucasta Miller, The Times Literary Supplement","Çevirmen:
 Leyla Tamer


Yayın Tarihi:
01.06.2021


ISBN:
9786057472359


Dil:
TÜRKÇE


Sayfa Sayısı:
96


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,2,"




                    Okuyacağım                


                    27                






                    Okuyorum                


                    2                






                    Okudum                


                    15                


",432," 32,50"
Böyle Buyurdu Zerdüşt,Friedrich Nietzsche,KAPRA YAYINCILIK,"Nietzsche’nin, fikir dünyasının zirvesine yerleştirdiği eseri Böyle Buyurdu Zerdüşt, düşünürün olgunluk çağını temsil eder. Anlatmak istediği her şeyi, son kitabı olan bu eserde özetlediğini söyler: ""‘İyi olan nedir?’ diye soruyorsunuz. Cesur olmak iyidir. İzin verin küçük kızların konuşmasına. İyi olmak, aynı zamanda güzel ve dokunaklı olmak demektir. Size kalpsiz diyorlar. Ama gerçek, sizin kalbiniz; seviyorum sizin samimi utancınızı. Sizler kendi selinizden utanıyorsunuz, diğerleriyse sularının çekilmesinden.""Nietzsche’nin ""herkes ve hiç kimse için"" yazdığını söylediği bu başyapıt, Almanca aslından Türkçeye çevrildi.","Çevirmen:
 Meral Harzem


Yayın Tarihi:
28.11.2020


Orijinal Adı:
Also Sprach Zarathustra


ISBN:
9786257784634


Dil:
TÜRKÇE


Sayfa Sayısı:
300


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",5,78,"




                    Okuyacağım                


                    274                






                    Okuyorum                


                    30                






                    Okudum                


                    245                


",8.558," 12,90"
İnce Memed 3,Yaşar Kemal,YAPI KREDİ YAYINLARI,"Otuz iki yıllır bir zaman diliminde yazılan İnce Memed dörtlüsü, düzene başkaldıran Memed'in ve insan ilişkileri, doğası ve renkleriyle Çukurova'nın öyküsüdür. Yaşar Kemal'in söyleyişiyle ""içinde başkaldırma kurduyla doğmuş"" bir insanın, ""mecbur adam""ın romanı.Abdi Ağa'nın zulmüyle köyünü terk etmek zorunda kalan Memed, Ağa'nın yeğeniyle evlendirilmek üzere olan Hatçe'yi kaçırır. Abdi Ağa'yı yaralayan, yeğenini de öldüren Memed eşkiya Deli Durdu'ya katılır, ancak kıyıcılığına katlanmadığı Deli Durdu'dan iki arkadaşıyla birlikte ayrılır. Memed, sıradan bir köy çocuğuyken, zulmedenler için eşkiyaya, köylüler içinse bir kurtarıcıya dönüşür.","Yayın Tarihi:
27.02.2020


ISBN:
9789750807039


Dil:
TÜRKÇE


Sayfa Sayısı:
629


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,685,"




                    Okuyacağım                


                    1.202                






                    Okuyorum                


                    122                






                    Okudum                


                    1.955                


",25.722," 70,08"
Momo,Michael Ende,PEGASUS YAYINLARI,"Zaman, yaşamın kendisidir. Ve yaşamın yeri yürektir. Momo, büyük bir kentin tiyatro harabelerinde yaşayan küçük bir kızdır. Buldukları ya da kendisine hediye edilenler dışında hiçbir şeyi yoktur. Ancak olağanüstü bir yeteneği vardır: Momo, muhteşem bir dinleyicidir ve bunun için oldukça bol zamanı vardır.Bir gün hayaletimsi topluluk “duman adamlar” ortaya çıkar. İnce hesaplı planlar kurup insanların zamanını çalarlar. Onları durduracak tek kişiyse Momo’dur.Momo elinde bir çiçek, koltuğunun altında bir kaplumbağa ve gizemli Hora Usta’nın da yardımıyla koskoca duman adamlar ordusunun karşısında tek başına durur. Acaba Momo, zamanı çalan adamları tek başına alt edebilecek midir?Toplumumuz ve günümüz insanının zaman algısı ve zamanı okuması üzerine bir masal olan Momo’yla Michael Ende, Alman Gençlik Edebiyatı Ödülü’ne layık görülmüştür. Pek çok kez sinemaya uyarlanan Momo, kırktan fazla dile çevrilmiş, tüm dünyada 7 milyonun üzerinde satılmıştır.   “Michael Ende’nin romanları uzun yıllardır ‘kült kitaplar’ arasında.”Stuttgarter Zeitung  “Momo, hem çocuklar hem de yetişkinler için bir masal niteliğinde.”Die Welt  “Michael Ende’nin hayal gücü ve fantazyalarla dolu bu masal-romanı dünya çapında bir başarıya ulaştı ve klasikleşti.”Buch aktuell","Çevirmen:
 Leman Çalışkan


Yayın Tarihi:
07.09.2017


ISBN:
9786052993019


Dil:
TÜRKÇE


Sayfa Sayısı:
304


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,4.851,"




                    Okuyacağım                


                    5.343                






                    Okuyorum                


                    647                






                    Okudum                


                    10.159                


",218.192," 64,82"
Öze Dönüş,Eray Hacıosmanoğlu,HAYY KİTAP,"Küresel bir tek dünya devleti sapkınlığına sürüklenen insanoğlu, hiç şüphesiz bu dönüşümün sancılarıyla boğuşurken, travmatik anıları geleceğe ayarlanmış saatli bir bomba gibi farkında olmadan genlerine kazıyor. Bu nedenle bu kitabı “geleceğin geçmiş travmaları” olarak yorumlamak çok daha sağlıklı bir bakış açısı olabilir. Çünkü geçmişin kötü izlerini temizlemek yetmez! Bugüne geçmişin geleceği olarak da bakmak zorundayız. Bu bizi hem olmuş olana hem de olacak olana karşı tam donanımlı bir şifa kaynağı yapacaktır. Bugünün ruhsal problemlerinde esas mesele geçmişte yaşanan ağır travmalardır. Sebebini bulmak, adını koymak ve çözüme ulaşmak ise mümkündür. İnsanı özünden uzaklaştıran her türlü travmanın anahtarını bulmak, iyileşmede ve hastalıklara karşı korunmada birinci rolü oynar. O yüzden bu kitap ile olmuş olana çare bulmaya niyet ettiğimiz kadar olmamış olanın da önünü kesmeyi amaçlıyoruz. Birçok kişi geçmişi açmanın zarar verici olacağını düşünerek geçmişte yaşadıklarını görmek ve duymak istemez. Bunun için de geçmişin yakasını bırakmadığını, bugünkü birçok davranışında kendini gösterdiğini fark edemez. Çünkü kişi çoktan geçmişin bugüne etkisi olabileceği fikrini zihninin en derinlerine kaldırmıştır. Bazen de kişi yaşadığı durumun anlamsızlığını görür, fark eder ancak olanın adını koyamaz. Geçmişi düzeltmeyi başaramadığında ise tüm yaşam enerjisini bu uğurda harcarken, huzur ve mutluluğu ulaşılmaz sanır. Manevi boşluğu madde ile doldurmaya çalışır; gereksiz harcamalar, borçlanmalar, zararlı bağımlılıklar içinde kaybolur gider.   Bu kitabı okurken hayatınızdaki olaylara bir isim verir gibi, unuttuğunuz ve geçmişte bıraktığınız sen’e yeniden dokunur gibi, kendinizi yeniden keşfederken bir kez daha doğar gibi bakın. Çünkü uyanışın ilk çağrılarına kulak verir ve bu kitabı kendi yaşamınızı ele alarak okursanız, geçmişinizle ilgili muhteşem izler bulacak ve geleceği dahi şifalandıracaksınız. Unutmayın, bu sizin hikâyeniz ve öze dönüş yolculuğunuz…","Yayın Tarihi:
29.08.2022


ISBN:
9786257479981


Dil:
TÜRKÇE


Sayfa Sayısı:
296


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,4,"




                    Okuyacağım                


                    28                






                    Okuyorum                


                    9                






                    Okudum                


                    12                


",1.473," 52,20"
Sırça Köşk,Sabahattin Ali,YAPI KREDİ YAYINLARI,"''Niçin hep acı şeyler yazayım? Dostlar, yufka yürekli dostlar bundan hoşlanmıyorlar. 'Hep kötü, sakat şeyleri mi göreceksin?' diyorlar. 'Hep açlardan, çıplaklardan, dertlilerden mi bahsedeceksin? Geceleri gazete satıp izmarit toplayan serseri çocuklardan; bir kaşık toprak, bir bakraç su için birbirlerini öldürenlerden; cezaevlerinde ruhları kemirile kemirile eriyip gidenlerden; doktor bulamayanlardan; hakkını alamayanlardan başka yazacak şeyler, iyi güzel şeyler kalmadı mı? Niçin yazılarındaki bütün insanların benzi soluk, yüreği kederli? Bu memlekette yüzü gülen, bahtiyar insan yok mu?'''","Yayın Tarihi:
24.09.2021


ISBN:
9789750806629


Dil:
TÜRKÇE


Sayfa Sayısı:
141


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
3. Hm. Kağıt


Boyut:
13.5 x 21 cm",5,2.387,"




                    Okuyacağım                


                    2.906                






                    Okuyorum                


                    245                






                    Okudum                


                    6.175                


",73.109," 11,81"
